  Testcase |      Brute Force (s) |     Backtracking (s) |            PySAT (s)
         0 |             0.000000 |             0.000000 |             0.001000
         1 |             0.381001 |             0.000000 |             0.000000
         2 |             0.034000 |             0.000000 |             0.001000
         3 |             0.006001 |             0.000999 |             0.000000
         4 |             3.531997 |             0.002002 |             0.000999
         5 |             4.589999 |             0.041997 |             0.001001
         6 |             4.352194 |             0.021000 |             0.001002
         7 |            12.817000 |           233.205924 |             0.002000
         8 |            11.933000 |           302.784057 |             0.001000
         9 |            12.093000 |           102.234999 |             0.001000
